127.0.0.1 - - [22/Jan/2015:10:27:31 +0700] "GET / HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [22/Jan/2015:10:27:33 +0700] "GET /cit/ HTTP/1.1" 200 11426
0:0:0:0:0:0:0:1 - - [22/Jan/2015:10:27:33 +0700] "GET /cit/resources/themes/constats/js/script.js HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [22/Jan/2015:10:27:33 +0700] "GET /cit/resources/themes/constats/plugins/contextmenu/context.js HTTP/1.1" 200 4133
0:0:0:0:0:0:0:1 - - [22/Jan/2015:10:27:33 +0700] "GET /cit/resources/themes/constats/css/style.css HTTP/1.1" 200 19450
0:0:0:0:0:0:0:1 - - [22/Jan/2015:10:27:33 +0700] "GET /cit/resources/themes/constats/js/context-server.js HTTP/1.1" 200 1331
0:0:0:0:0:0:0:1 - - [22/Jan/2015:10:27:33 +0700] "GET /cit/resources/themes/constats/plugins/contextmenu/context.standalone.css HTTP/1.1" 200 5621
0:0:0:0:0:0:0:1 - - [22/Jan/2015:10:27:33 +0700] "GET /cit/resources/themes/constats/plugins/font-awesome-4.2.0/css/font-awesome.min.css HTTP/1.1" 200 21984
0:0:0:0:0:0:0:1 - - [22/Jan/2015:10:27:33 +0700] "GET /cit/resources/themes/constats/js/jquery-2.1.1.min.js HTTP/1.1" 200 84245
0:0:0:0:0:0:0:1 - - [22/Jan/2015:10:27:33 +0700] "GET /cit/resources/themes/constats/plugins/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 113498
0:0:0:0:0:0:0:1 - - [22/Jan/2015:10:27:33 +0700] "GET /cit/resources/themes/constats/plugins/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 35601
0:0:0:0:0:0:0:1 - - [22/Jan/2015:10:27:33 +0700] "GET /cit/resources/themes/constats/images/avatar.png HTTP/1.1" 200 1836
0:0:0:0:0:0:0:1 - - [22/Jan/2015:10:27:33 +0700] "GET /cit/resources/themes/constats/js/jquery-ui.min.js HTTP/1.1" 200 238314
0:0:0:0:0:0:0:1 - - [22/Jan/2015:10:27:34 +0700] "GET /cit/resources/themes/constats/plugins/bootstrap/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 200 23320
0:0:0:0:0:0:0:1 - - [22/Jan/2015:10:27:34 +0700] "GET /cit/resources/themes/constats/plugins/font-awesome-4.2.0/fonts/fontawesome-webfont.woff?v=4.2.0 HTTP/1.1" 200 65452
