127.0.0.1 - - [20/Mar/2015:09:20:57 +0700] "GET / HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [20/Mar/2015:09:20:58 +0700] "GET /cit/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Mar/2015:09:21:01 +0700] "GET /cit/login HTTP/1.1" 200 11021
0:0:0:0:0:0:0:1 - - [20/Mar/2015:09:21:01 +0700] "GET /cit/resources/themes/default/js/jquery-2.1.1.min.js HTTP/1.1" 200 84249
0:0:0:0:0:0:0:1 - - [20/Mar/2015:09:21:01 +0700] "GET /cit/resources/themes/default/js/jquery-ui.min.js HTTP/1.1" 200 238326
0:0:0:0:0:0:0:1 - - [20/Mar/2015:09:21:01 +0700] "GET /cit/resources/themes/default/plugins/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 35607
0:0:0:0:0:0:0:1 - - [20/Mar/2015:09:21:01 +0700] "GET /cit/resources/themes/default/plugins/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 113502
0:0:0:0:0:0:0:1 - - [20/Mar/2015:09:21:01 +0700] "GET /cit/resources/themes/default/plugins/font-awesome-4.2.0/css/font-awesome.min.css HTTP/1.1" 200 21987
0:0:0:0:0:0:0:1 - - [20/Mar/2015:09:21:01 +0700] "GET /cit/resources/themes/default/plugins/contextmenu/context.standalone.css HTTP/1.1" 200 5849
0:0:0:0:0:0:0:1 - - [20/Mar/2015:09:21:01 +0700] "GET /cit/resources/themes/default/css/style.css HTTP/1.1" 200 18907
0:0:0:0:0:0:0:1 - - [20/Mar/2015:09:21:01 +0700] "GET /cit/resources/themes/default/css/style-signin.css HTTP/1.1" 200 746
0:0:0:0:0:0:0:1 - - [20/Mar/2015:09:21:01 +0700] "GET /cit/resources/themes/default/js/script.js HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [20/Mar/2015:09:21:01 +0700] "GET /cit/resources/themes/default/plugins/contextmenu/context.js HTTP/1.1" 200 4273
0:0:0:0:0:0:0:1 - - [20/Mar/2015:09:21:01 +0700] "GET /cit/resources/themes/default/js/context-server.js HTTP/1.1" 200 1406
0:0:0:0:0:0:0:1 - - [20/Mar/2015:09:21:01 +0700] "GET /cit/resources/themes/default/plugins/bootstrap/fonts/glyphicons-halflings-regular.eot HTTP/1.1" 200 20335
0:0:0:0:0:0:0:1 - - [20/Mar/2015:09:21:17 +0700] "GET /cit/login HTTP/1.1" 200 11021
0:0:0:0:0:0:0:1 - - [20/Mar/2015:09:21:17 +0700] "GET /cit/resources/themes/default/js/jquery-2.1.1.min.js HTTP/1.1" 200 84249
0:0:0:0:0:0:0:1 - - [20/Mar/2015:09:21:17 +0700] "GET /cit/resources/themes/default/plugins/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 35607
0:0:0:0:0:0:0:1 - - [20/Mar/2015:09:21:17 +0700] "GET /cit/resources/themes/default/plugins/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 113502
0:0:0:0:0:0:0:1 - - [20/Mar/2015:09:21:17 +0700] "GET /cit/resources/themes/default/js/jquery-ui.min.js HTTP/1.1" 200 238326
0:0:0:0:0:0:0:1 - - [20/Mar/2015:09:21:17 +0700] "GET /cit/resources/themes/default/plugins/font-awesome-4.2.0/css/font-awesome.min.css HTTP/1.1" 200 21987
0:0:0:0:0:0:0:1 - - [20/Mar/2015:09:21:17 +0700] "GET /cit/resources/themes/default/css/style.css HTTP/1.1" 200 18907
0:0:0:0:0:0:0:1 - - [20/Mar/2015:09:21:17 +0700] "GET /cit/resources/themes/default/plugins/contextmenu/context.standalone.css HTTP/1.1" 200 5849
0:0:0:0:0:0:0:1 - - [20/Mar/2015:09:21:17 +0700] "GET /cit/resources/themes/default/plugins/contextmenu/context.js HTTP/1.1" 200 4273
0:0:0:0:0:0:0:1 - - [20/Mar/2015:09:21:17 +0700] "GET /cit/resources/themes/default/css/style-signin.css HTTP/1.1" 200 746
0:0:0:0:0:0:0:1 - - [20/Mar/2015:09:21:17 +0700] "GET /cit/resources/themes/default/js/context-server.js HTTP/1.1" 200 1406
0:0:0:0:0:0:0:1 - - [20/Mar/2015:09:21:17 +0700] "GET /cit/resources/themes/default/js/script.js HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [20/Mar/2015:09:21:18 +0700] "GET /cit/resources/themes/default/plugins/bootstrap/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 200 23320
0:0:0:0:0:0:0:1 - - [20/Mar/2015:09:21:18 +0700] "GET /favicon.ico HTTP/1.1" 404 1014
0:0:0:0:0:0:0:1 - - [20/Mar/2015:09:21:19 +0700] "POST /cit/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Mar/2015:09:21:20 +0700] "GET /cit/ HTTP/1.1" 200 12119
0:0:0:0:0:0:0:1 - - [20/Mar/2015:09:21:21 +0700] "GET /cit/resources/themes/default/images/avatar.png HTTP/1.1" 200 1836
0:0:0:0:0:0:0:1 - - [20/Mar/2015:09:21:21 +0700] "GET /cit/resources/themes/default/plugins/font-awesome-4.2.0/fonts/fontawesome-webfont.woff?v=4.2.0 HTTP/1.1" 200 65452
0:0:0:0:0:0:0:1 - - [20/Mar/2015:09:21:37 +0700] "GET /cit/shutdown?s=192.168.1.121 HTTP/1.1" 404 990
0:0:0:0:0:0:0:1 - - [20/Mar/2015:09:21:42 +0700] "GET /cit/shutdown/192.168.1.121 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Mar/2015:09:21:42 +0700] "GET /cit/ HTTP/1.1" 200 12119
