0:0:0:0:0:0:0:1 - - [02/Apr/2015:00:00:44 +0700] "POST /cit/addserver HTTP/1.1" 200 8059
0:0:0:0:0:0:0:1 - - [02/Apr/2015:00:02:30 +0700] "GET /cit/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Apr/2015:00:02:31 +0700] "GET /cit/login HTTP/1.1" 200 11135
0:0:0:0:0:0:0:1 - - [02/Apr/2015:00:02:36 +0700] "POST /cit/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Apr/2015:00:02:36 +0700] "GET /cit/login HTTP/1.1" 200 11173
0:0:0:0:0:0:0:1 - - [02/Apr/2015:00:02:40 +0700] "POST /cit/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Apr/2015:00:02:40 +0700] "GET /cit/ HTTP/1.1" 200 16078
0:0:0:0:0:0:0:1 - - [02/Apr/2015:00:03:01 +0700] "GET /cit/checkstatus/104.199.135.203/-6efa82e22c70f72154a6b3efcfa8a7d0 HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [02/Apr/2015:00:03:02 +0700] "GET /cit/checkstatus/104.199.138.190/-6efa82e22c70f72154a6b3efcfa8a7d0 HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [02/Apr/2015:00:03:29 +0700] "GET /cit/services/104.199.138.190/-6efa82e22c70f72154a6b3efcfa8a7d0 HTTP/1.1" 500 2297
0:0:0:0:0:0:0:1 - - [02/Apr/2015:00:04:01 +0700] "GET /cit/services/104.199.138.190/-6efa82e22c70f72154a6b3efcfa8a7d0 HTTP/1.1" 500 2297
127.0.0.1 - - [02/Apr/2015:00:04:20 +0700] "GET / HTTP/1.1" 404 992
127.0.0.1 - - [02/Apr/2015:00:04:20 +0700] "GET / HTTP/1.1" 404 -
127.0.0.1 - - [02/Apr/2015:00:04:20 +0700] "GET / HTTP/1.1" 404 -
127.0.0.1 - - [02/Apr/2015:00:04:20 +0700] "GET / HTTP/1.1" 404 -
127.0.0.1 - - [02/Apr/2015:00:04:20 +0700] "GET / HTTP/1.1" 404 -
127.0.0.1 - - [02/Apr/2015:00:04:20 +0700] "GET / HTTP/1.1" 404 -
127.0.0.1 - - [02/Apr/2015:00:04:20 +0700] "GET / HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [02/Apr/2015:00:04:20 +0700] "GET /cit/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Apr/2015:00:04:21 +0700] "GET /cit/login HTTP/1.1" 200 11135
0:0:0:0:0:0:0:1 - - [02/Apr/2015:00:04:23 +0700] "GET /cit/services/104.199.138.190/-6efa82e22c70f72154a6b3efcfa8a7d0 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Apr/2015:00:04:23 +0700] "GET /cit/login HTTP/1.1" 200 11135
0:0:0:0:0:0:0:1 - - [02/Apr/2015:00:04:23 +0700] "GET /cit/resources/themes/default/plugins/contextmenu/context.standalone.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2015:00:04:23 +0700] "GET /cit/resources/themes/default/css/style-signin.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2015:00:04:23 +0700] "GET /cit/resources/themes/default/js/jquery-2.1.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2015:00:04:23 +0700] "GET /cit/resources/themes/default/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2015:00:04:23 +0700] "GET /cit/resources/themes/default/js/context-server.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2015:00:04:23 +0700] "GET /cit/resources/themes/default/plugins/contextmenu/context.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2015:00:04:23 +0700] "GET /cit/resources/themes/default/plugins/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2015:00:04:23 +0700] "GET /cit/resources/themes/default/js/jquery-ui.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2015:00:04:23 +0700] "GET /cit/resources/themes/default/plugins/font-awesome-4.2.0/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2015:00:04:23 +0700] "GET /cit/resources/themes/default/plugins/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2015:00:04:23 +0700] "GET /cit/resources/themes/default/js/script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2015:00:04:28 +0700] "POST /cit/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Apr/2015:00:04:28 +0700] "GET /cit/ HTTP/1.1" 200 16078
0:0:0:0:0:0:0:1 - - [02/Apr/2015:00:04:50 +0700] "GET /cit/checkstatus/104.199.135.203/-6efa82e22c70f72154a6b3efcfa8a7d0 HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [02/Apr/2015:00:04:50 +0700] "GET /cit/checkstatus/104.199.138.190/-6efa82e22c70f72154a6b3efcfa8a7d0 HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [02/Apr/2015:00:04:53 +0700] "GET /cit/services/104.199.138.190/-6efa82e22c70f72154a6b3efcfa8a7d0 HTTP/1.1" 200 11315
0:0:0:0:0:0:0:1 - - [02/Apr/2015:00:05:06 +0700] "GET /cit/serviceconfig/nic/interfaces/104.199.138.190/-6efa82e22c70f72154a6b3efcfa8a7d0 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Apr/2015:00:05:06 +0700] "GET /cit/login HTTP/1.1" 200 11135
0:0:0:0:0:0:0:1 - - [02/Apr/2015:00:12:24 +0700] "GET /cit/services/104.199.138.190/-6efa82e22c70f72154a6b3efcfa8a7d0 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Apr/2015:00:12:24 +0700] "GET /cit/login HTTP/1.1" 200 11135
0:0:0:0:0:0:0:1 - - [02/Apr/2015:00:12:24 +0700] "GET /cit/resources/themes/default/js/jquery-ui.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2015:00:12:24 +0700] "GET /cit/resources/themes/default/plugins/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2015:00:12:24 +0700] "GET /cit/resources/themes/default/plugins/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2015:00:12:24 +0700] "GET /cit/resources/themes/default/plugins/font-awesome-4.2.0/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2015:00:12:24 +0700] "GET /cit/resources/themes/default/plugins/contextmenu/context.standalone.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2015:00:12:24 +0700] "GET /cit/resources/themes/default/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2015:00:12:24 +0700] "GET /cit/resources/themes/default/css/style-signin.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2015:00:12:24 +0700] "GET /cit/resources/themes/default/plugins/contextmenu/context.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2015:00:12:24 +0700] "GET /cit/resources/themes/default/js/jquery-2.1.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2015:00:12:24 +0700] "GET /cit/resources/themes/default/js/context-server.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2015:00:12:24 +0700] "GET /cit/resources/themes/default/js/script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2015:00:12:28 +0700] "POST /cit/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Apr/2015:00:12:28 +0700] "GET /cit/login HTTP/1.1" 200 11173
0:0:0:0:0:0:0:1 - - [02/Apr/2015:00:12:32 +0700] "POST /cit/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Apr/2015:00:12:33 +0700] "GET /cit/ HTTP/1.1" 200 16078
0:0:0:0:0:0:0:1 - - [02/Apr/2015:00:12:54 +0700] "GET /cit/checkstatus/104.199.135.203/-6efa82e22c70f72154a6b3efcfa8a7d0 HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [02/Apr/2015:00:12:54 +0700] "GET /cit/checkstatus/104.199.138.190/-6efa82e22c70f72154a6b3efcfa8a7d0 HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [02/Apr/2015:00:13:03 +0700] "GET /cit/services/104.199.138.190/-6efa82e22c70f72154a6b3efcfa8a7d0 HTTP/1.1" 200 11717
0:0:0:0:0:0:0:1 - - [02/Apr/2015:00:20:36 +0700] "GET /cit/services/104.199.138.190/-6efa82e22c70f72154a6b3efcfa8a7d0 HTTP/1.1" 200 12533
0:0:0:0:0:0:0:1 - - [02/Apr/2015:00:20:36 +0700] "GET /cit/resources/themes/default/plugins/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2015:00:20:36 +0700] "GET /cit/resources/themes/default/plugins/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2015:00:20:36 +0700] "GET /cit/resources/themes/default/plugins/font-awesome-4.2.0/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2015:00:20:36 +0700] "GET /cit/resources/themes/default/plugins/contextmenu/context.standalone.css HTTP/1.1" 304 -
